,epithelial cell,T cell,plasma cell,B cell,mesenchymal cell,endothelial cell,myeloid cell
DDX5,0.6630072,1.7496094,0.9797951,1.6560454,2.0509646,1.5160235,1.0092255
PHGR1,1.3642048,0.03430178,0.14294091,0.018205462,0.06677796,0.018817203,0.035353534
SH3BP5-AS1,0.020210411,0.047995504,0.18234468,0.2466146,0.80300504,1.2016585,1.0202016
IGFBP5,0.00968992,0.002258611,0.006512301,0.0039011703,1.3074815,0.059139792,0.0
MUC3A,1.2833573,0.00846979,0.04341535,0.0039011703,0.008347245,0.018817203,0.005050505
ZNF575,1.357919,0.074816495,0.07959474,0.05526659,0.12687814,0.14784941,0.13636363
IGKV1D-39,0.03409349,0.0322105,1.2753125,0.055135168,0.011911685,0.011183644,0.054260727
COL6A3,0.007684307,0.0026049314,0.0050651226,0.0013003901,1.2443752,0.021508483,0.0
SERPINF1,0.012003895,0.0051516555,0.000723589,0.0039011703,1.2237078,0.01344086,0.047979802
LRP1,0.05024929,0.0051520457,0.01591896,0.0039011703,1.2285035,0.005376344,0.21212125
RPL4,0.55094886,1.7083212,1.3728058,1.9259963,1.2628305,1.1057706,1.2451378
ABI3BP,0.0152270105,0.002258611,0.003617945,0.0013003901,1.130421,0.53346246,0.005050505
IGHV3-23,0.024453936,0.017094854,1.1740655,0.095703386,0.015581524,0.0033400143,0.037317622
IGKV1-12,0.015918195,0.008104855,1.1402019,0.017487178,0.008494351,0.009579142,0.05120869
NOP16,1.4439551,1.0625615,0.5204704,1.2444799,0.85071075,0.63844043,1.666049
AKAP12,0.0048449608,0.0028232636,0.008683069,0.0013003901,0.30540523,1.1292815,0.02020202
DSE,0.24857856,0.8159278,0.3769622,1.3015181,0.31738117,0.106749676,0.28030673
ENO3,1.1738322,0.53523624,0.32794246,0.55986965,0.37262785,0.46639758,1.3898942
IGKV2-30,0.019986121,0.020739181,1.126188,0.06747292,0.016169222,0.013082437,0.04040404
SPARCL1,0.0119047575,0.0011293055,0.009406658,0.0013003901,0.45242044,1.0834295,0.005050505
FOSB,0.24795279,0.5472785,1.3338462,0.46822867,0.7503344,0.16129032,0.19696973
HSPA1A,0.43476683,0.96999234,1.1619658,1.2763463,0.39049017,0.23085837,0.9102395
IGKV1-9,0.022880571,0.015576941,1.1054579,0.024025185,0.00924488,0.0049644466,0.053613517
IGLV1-44,0.034208078,0.02366925,1.1128781,0.0485212,0.0072342786,0.030465953,0.044918828
DEFA5,1.0756315,0.0005646527,0.0072358903,0.00780234,0.01836394,0.005376344,0.011784513
FSTL1,0.008028794,0.0016939582,0.002170767,0.0013003901,1.0655329,0.07258064,0.0
GPNMB,0.0041528232,0.0006904586,0.003617945,0.0,1.0601002,0.005376344,0.09595958
TIMP3,0.010105202,0.0019762847,0.006512301,0.0013003901,1.0284066,0.47329107,0.04040404
DDTL,1.3383228,0.45101795,0.3659383,0.7230769,0.19757578,0.23758242,0.43236044
IGHV5-51,0.022221142,0.016374927,1.0480812,0.027438235,0.00918197,0.012096774,0.0479798
TNXB,0.0042220363,0.0014116318,0.0,0.0,1.031177,0.09274193,0.0
TGFBR3,0.008072942,0.019198194,0.002170767,0.0,1.0372245,0.14381623,0.01010101
MUC12,1.0403124,0.017221907,0.049204137,0.0052015604,0.071786314,0.01344086,0.01010101
LYVE1,0.0009689923,0.0005646527,0.000723589,0.0,0.001669449,0.86827946,0.65812683
IGLV1-51,0.018632365,0.010775272,0.9957334,0.017702322,0.0022259322,0.0035842294,0.017676769
BMP6,0.05869769,0.002258611,1.0320318,0.041623376,0.073458485,0.123655885,0.055555552
PDGFRA,0.0030645344,0.0005646527,0.000723589,0.0,0.97618634,0.0,0.0025252525
IGFBP3,0.0022148394,0.013764586,0.004341534,0.0013003901,0.7158079,0.79925394,0.02020202
CD69,0.012638405,0.83502746,0.23552945,0.78326964,0.023372289,0.002688172,0.13383837
MT-ND4L,1.3232924,0.38608167,1.1029018,0.5417625,0.61025757,0.4446053,0.5028618
CLU,0.041116904,0.006775832,0.012301015,0.0052015604,0.26388687,0.96897894,0.005050505
NID1,0.0024916942,0.0005646527,0.001447178,0.0013003901,0.9578505,0.08333332,0.01010101
PTX3,0.00041528238,0.0028232636,0.0079594795,0.0026007802,0.9494221,0.03763441,0.015151516
HERPUD1,0.06928403,0.05853997,1.0074563,0.14824446,0.053422358,0.02956989,0.14646465
CAPN12,0.9789148,0.08927718,0.06541245,0.05591679,0.13043815,0.5161287,0.111111104
RPL3,0.3053285,0.96038693,0.6472276,1.2430736,0.40636054,0.3884396,0.49959478
THBD,0.0011074197,0.0011293055,0.001447178,0.0013003901,0.06844741,0.9343703,0.116161615
IGKV1D-33,0.025853261,0.00923546,0.9278071,0.02150096,0.0074883928,0.023647515,0.03330416
HLA-DRA,0.01896456,0.12116926,0.061199594,0.59635603,0.030884812,0.05376344,0.8737752
LTBP4,0.037107263,0.017504232,0.012662809,0.020806242,0.9275936,0.07795699,0.02020202
FBLN1,0.009136213,0.004517222,0.009406658,0.0039011703,0.9042761,0.021505374,0.005050505
RPLP0,0.5141723,0.72925234,1.467341,1.0154749,0.69400805,0.51646024,0.6724693
IER3-AS1,0.96999913,0.04065502,0.043372605,0.00780234,0.21688321,0.120967716,0.17757761
MMP2,0.0053432295,0.0,0.000723589,0.0,0.89052707,0.010752688,0.0
IGKV1-33,0.025853261,0.00923546,0.90580374,0.02150096,0.0074883928,0.023647515,0.03330416
REG1A,0.89650846,0.004517222,0.027206952,0.00910273,0.02003339,0.021505374,0.01010101
RPL11,0.27796686,0.8367691,0.39639294,1.07458,0.30937803,0.1828368,0.34848496
LAPTM5,0.009032586,0.41628978,0.057887133,0.7658392,0.021526776,0.14032255,0.7272725
PABPC1,0.3729193,1.1173922,0.62781197,1.111356,0.45183063,0.3722459,0.8764705
IGLV2-8,0.049559522,0.037248272,0.9091251,0.049329445,0.019975206,0.03763441,0.03977775
RPL5,0.54580295,1.13633,1.180276,1.5017452,0.87477887,0.7276808,0.7587791
GOLGA3,0.38257447,0.69365656,0.53572357,1.198556,0.35273203,0.22373529,0.42314354
SZT2,0.9686779,0.09655553,0.6813101,0.12028986,0.683844,0.489247,0.30843437
PMP22,0.039877057,0.0028232636,0.003617945,0.0,0.8868948,0.18117143,0.06565657
NFE2L2,1.2247343,0.34554744,0.33343318,0.41824034,0.6251014,0.85128945,0.7408942
CLDN5,0.002076412,0.0016939582,0.0079594795,0.0,0.01836394,0.8575655,0.015151516
LBHD1,1.081664,0.14125702,0.21135016,0.24426755,0.30551064,0.27437463,0.3030303
DNAJB1,0.30427328,0.91790706,0.8835657,0.9193111,0.3717198,0.229101,0.37394404
C7,0.0047253584,0.0028498466,0.0072358903,0.0013003901,0.85125965,0.21236551,0.005050505
IGHV3-72,0.0077993567,0.008405361,0.844027,0.017902559,0.02003339,0.013660395,0.006734007
PLBD1-AS1,0.3961654,0.0011293055,0.028219977,0.00910273,0.71140456,0.13709675,0.6767675
IGFBP6,0.011535179,0.0033879164,0.0050651226,0.0039011703,0.83277893,0.021505374,0.005050505
POLR3H,0.9062616,0.034161504,0.07380605,0.049414836,0.10684477,0.13440856,0.13131313
FOS,0.42222238,0.5420486,0.5457302,0.44411144,1.2556766,0.32100907,0.49318838
IFI30,0.023085441,0.01166053,0.053497303,0.11645641,0.009181969,0.008064516,0.8460306
IGLC7,0.0019816346,0.0026821005,0.8124465,0.0013003901,0.00055648305,0.0,0.0016835018
SVEP1,0.0026301215,0.0005646527,0.002894356,0.0,0.8132553,0.002688172,0.005050505
XBP1,0.08175712,0.06634673,0.8947193,0.08387518,0.11686146,0.088709675,0.07575757
PRR29,0.017392939,0.12459699,0.1624456,0.04616386,0.008347245,0.87104666,0.0979798
PRELP,0.004152823,0.0005646527,0.001447178,0.0,0.8160731,0.04505221,0.005050505
TPSAB1,0.0006247785,0.002258611,0.0031114323,0.004551365,0.001669449,0.0,0.80426514
PTPRC,0.008178654,0.7603744,0.09919571,0.512471,0.013355592,0.0094086025,0.35729012
ITM2B,0.1272855,0.24298139,0.090448536,0.14573109,0.7003835,0.83613724,0.44579107
PFN1,0.37985593,0.81434804,0.40433878,0.6925556,0.37155032,0.36693528,1.1339436
B2M,0.44967756,0.963423,1.2009034,1.0211169,0.4496102,0.601581,0.89171034
LGALS3,0.8674277,0.039808042,0.15393235,0.018075421,0.28629574,0.17741928,0.070707075
HSP90AB1,0.3359147,0.9538264,0.77822065,1.306566,0.77694637,0.7013359,0.6624882
SMPD4,1.7742777,1.2319227,1.061625,1.4620053,0.9826181,0.9462359,1.2384942
YBX1,0.8141539,0.80571526,0.83925635,1.0863196,1.1916112,1.3430305,1.5468715
ZG16,0.8066873,0.038727526,0.10069966,0.009233302,0.095993325,0.0094086025,0.035353534
TSIX,1.0170287,0.36275145,0.16669019,0.40143532,0.50257355,0.26879913,0.2234268
TFPI,0.020342922,0.0016939582,0.002894356,0.0017338535,0.3182914,0.7528175,0.015151516
RPS3,0.2070947,0.68669754,0.40235916,0.8698881,0.17003556,0.1260309,0.2734972
RPL8,0.43284452,0.798784,0.87356216,1.2110236,0.52346474,0.48446387,0.5266581
THBS2,0.0022148394,0.0011293055,0.000723589,0.0039011703,0.74624354,0.0,0.0
PLPP1,0.056640055,0.04404293,0.01591896,0.020806244,0.119365655,0.7806443,0.025252525
ATP6V1C2,0.8453083,0.044607595,0.50627726,0.05981796,0.20868897,0.30107507,0.3232324
RPS8,0.46485135,0.77229524,0.98541343,1.1948857,0.50391483,0.5117756,0.6079928
COL12A1,0.0056828423,0.0005646527,0.0,0.0,0.73977196,0.026881719,0.005050505
HBB,0.22319344,0.5704459,0.34240618,0.78271514,0.11490369,0.008064516,0.15320286
MYH9,0.17438976,0.67851925,0.11796545,0.34231395,0.200334,0.8494594,0.38383844
IGHG3,0.002374727,0.00825334,0.73978764,0.053950198,0.0071229823,0.012365591,0.018097643
CD83,0.004568106,0.08074532,0.04196817,0.7525749,0.01836394,0.010752688,0.25757578
S1PR1,0.0011074197,0.07374365,0.005788712,0.08582574,0.003338898,0.73924685,0.0
IL6ST,0.03169377,0.1987273,0.1609982,0.04805494,0.75552464,0.5120965,0.11616161
IGHV3-53,0.003316648,0.003300185,0.71911716,0.0061910413,0.004625765,0.005376344,0.009890572
PRDM1,0.013842739,0.14906819,0.7474607,0.0403121,0.0050083473,0.008064516,0.065656565
COL1A2,0.013763633,0.0028232636,0.003617945,0.0013003901,0.71817636,0.024193546,0.01010101
LAMA2,0.009122504,0.0016939582,0.006512301,0.0013003901,0.71312094,0.005376344,0.005050505
MMACHC,0.8525696,0.053648405,0.14695178,0.14504868,0.21760288,0.34776038,0.24247828
ICAM1,0.003875968,0.037586633,0.179452,0.029908972,0.72087866,0.4220429,0.1060606
P2RX5-TAX1BP3,1.1594706,0.32819802,0.5564334,0.5264256,0.44241887,0.6597865,0.58840305
MT1A,0.0051248665,0.0011293055,0.000723589,0.0,0.6994617,0.01344086,0.005050505
BTD,0.16084932,0.19870903,0.85295224,0.16595618,0.12611124,0.1975385,0.12654522
CRISPLD2,0.0030048809,0.0011418867,0.001447178,0.0013003901,0.6994992,0.008064516,0.02020202
CTSB,0.1426755,0.04386125,0.07962066,0.093642764,0.16740043,0.09679738,0.78254336
TENT5C,0.024946358,0.13310906,0.723596,0.09882962,0.0116861425,0.002688172,0.025252525
BCL11A,0.19919248,0.030431205,0.018169686,0.7233097,0.0125631,0.018817203,0.106060594
RHOB,0.21254823,0.08210047,0.12970719,0.15557049,0.76939183,0.5081467,0.12121212
ID1,0.17162554,0.0115753785,0.030390745,0.0039011703,0.013355592,0.70192623,0.0025252525
MBNL1-AS1,0.17194833,0.87853914,0.12011556,0.5304769,0.33556548,0.30918518,0.2979799
TSC22D3,0.041525267,0.69598573,0.5944386,0.6103385,0.38985744,0.115591384,0.29797983
HSPA8,0.31069562,1.068565,0.7915446,0.82884467,0.5733573,0.5010751,0.5151516
CENPO,0.8178958,0.093732305,0.07815529,0.20368107,0.31385636,0.17204294,0.34848496
FAM3D-AS1,0.6760024,0.002258611,0.014471782,0.0013003901,0.0,0.008064516,0.0
NCAPH2,0.7898624,0.07679265,0.14712968,0.07412223,0.13188648,0.16935477,0.24663305
SAMHD1,0.11340349,0.33381858,0.045444664,0.03901171,0.5393503,0.0565856,0.62775004
TIMP2,0.010243633,0.007622811,0.014182346,0.0013003901,0.6810562,0.1518817,0.02020202
PNRC1,0.05758596,0.58712703,0.32416782,0.5641394,0.7845501,0.22043002,0.29869437
HLA-B,0.21806504,0.7454363,0.6347439,0.8355812,0.21944025,0.38418838,0.6218681
MS4A1,0.0009689923,0.032467548,0.0061505064,0.6679263,0.001669449,0.0,0.015151516
CLDN4,0.67783535,0.019762846,0.100079454,0.0065019503,0.025041739,0.0034562212,0.01010101
CCDC80,0.015565207,0.0016939582,0.006512301,0.0,0.6659459,0.04032708,0.005050505
PXN-AS1,0.3062857,0.02195578,0.012532303,0.0052015604,0.2557598,0.6908597,0.121212095
NDUFB2-AS1,0.9403291,0.38554847,0.21633834,0.38851783,0.31352234,0.22365296,0.42087957
FBLN2,0.0049833884,0.0039525693,0.003617945,0.00780234,0.6652756,0.11827954,0.01010101
CYP1B1-AS1,0.0049976595,0.0005646527,0.000723589,0.0,0.1602672,0.6629344,0.025252525
CTSA,0.12503725,0.029990783,0.08611931,0.07657948,0.29716194,0.086021505,0.7228895
LAMC1,0.0042912504,0.0005646527,0.005788712,0.00780234,0.65343827,0.08870966,0.0
IGKV1-16,0.009150066,0.0018645242,0.65206194,0.0041519604,0.013810582,0.012992832,0.031144954
IGHV4-59,0.01447224,0.00900081,0.6513967,0.02223856,0.0029215359,0.0179475,0.006475006
DST,0.18350123,0.010755752,0.042796846,0.011787665,0.6716306,0.3693202,0.16676387
SPTBN1,0.12245635,0.08130998,0.05814603,0.049414836,0.44073415,0.642773,0.025252525
ZEB2-AS1,0.00041528238,0.19650596,0.001447178,0.20936279,0.22203688,0.021505374,0.6822613
HLA-DRB1,0.01830262,0.05680409,0.04804047,0.28430778,0.015191984,0.043279566,0.6593883
EPAS1,0.026233763,0.018633539,0.009406658,0.0,0.12353926,0.65591866,0.035353534
CCDC18,0.43081102,0.3898558,0.9526143,0.3986599,0.78806764,0.42741907,0.7904039
SLIT3,0.01696018,0.0005646527,0.000723589,0.0,0.6310597,0.0,0.0
TGFBR2,0.025854202,0.19195767,0.05171792,0.1760288,0.41165885,0.6898738,0.1060606
SOD3,0.018286515,0.0011293055,0.004341534,0.0,0.62737805,0.005376344,0.0
IGFBP4,0.03322272,0.007905137,0.018813318,0.00910273,0.44017336,0.5510888,0.03030303
CYBRD1,0.03830447,0.0005646527,0.004341534,0.0,0.63621193,0.043010753,0.02020202
BBIP1,0.7048714,0.12391774,0.23517905,0.10794739,0.056761254,0.44892448,0.15656564
ELF3,0.6357318,0.02100443,0.10366925,0.0097529255,0.02237062,0.0076164873,0.0025252525
IGLV3-19,0.01642054,0.0050818743,0.63002676,0.07243179,0.0050083473,0.005376344,0.017676767
FARP1,0.71219856,0.075881936,0.04916053,0.07454274,0.29862806,0.26316804,0.19984226
MFAP4,0.009274639,0.0005646527,0.001447178,0.0013003901,0.6111318,0.0672043,0.0
GUCA2A,0.6164756,0.018068887,0.040342126,0.0065019503,0.03505843,0.0,0.01010101
VWF,0.0015227022,0.0,0.0,0.0065019503,0.001669449,0.600605,0.0
TATDN1,0.9414022,0.53562593,0.22868434,0.5103237,0.6419168,0.4363796,0.36868697
NFIA,0.21073319,0.041474838,0.016834168,0.02060503,0.6122856,0.36122707,0.05580007
PTGIS,0.00055370986,0.0011293055,0.0,0.0,0.6076794,0.10486941,0.005637252
HLA-DQB1,0.0026301218,0.027103342,0.018162087,0.22352605,0.0050083473,0.026881717,0.6113043
PPP1R15A,0.29481664,0.39341187,0.8768774,0.37066436,0.323051,0.16263437,0.3333334
GGCX,0.6205551,0.036137797,0.08779917,0.05071523,0.3952887,0.40471786,0.38883054
EZR,0.2881288,0.40282747,0.50677735,0.6652375,0.06260433,0.064516135,0.21010104
UBXN11,0.7092824,0.27192962,0.06512302,0.21525095,0.20034696,0.17338702,0.5165736
RELL1,0.26008847,0.109030545,0.05912988,0.034632828,0.3677381,0.6754508,0.18184325
MYL5,0.79684764,0.20238033,0.1993362,0.29928952,0.18720646,0.17207041,0.22222221
CCNI,0.21103816,0.7189073,0.47819006,0.87772304,0.67551506,0.38711378,0.575866
HDGFL3,0.003908983,0.005646527,0.0029574553,0.0052245236,0.023372289,0.6021409,0.1620617
BTG1,0.05962351,0.49358848,0.17273621,0.59153736,0.08437922,0.046962455,0.1439394
SCARA5,0.0027566368,0.0005646527,0.001447178,0.0,0.5834723,0.0,0.0
IGLV3-1,0.029739037,0.034066718,0.6082169,0.047633704,0.006677796,0.002688172,0.045454547
CEBPD,0.03128465,0.012140031,0.0115774255,0.0039011703,0.6127528,0.19892468,0.16167253
